"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Probable Pitcher","Batting Order"
"19819-79092","2B","Ian","Ian Happ","Happ","11.3","35","3500","CHC@MIA","CHC","MIA","","","",""
"19819-38252","OF","Stephen","Stephen Piscotty","Piscotty","9.07843137254902","51","3500","PIT@STL","STL","PIT","","","",""
"19819-38326","OF","Nomar","Nomar Mazara","Mazara","10.468657080806903","67","3500","TEX@NYY","TEX","NYY","","","",""
"19819-13864","OF","Joc","Joc Pederson","Pederson","8.766666666666667","45","3500","COL@LOS","LOS","COL","","","",""
"19819-13924","OF","Kole","Kole Calhoun","Calhoun","9.219178082191782","73","3500","LAA@BOS","LAA","BOS","","","",""
"19819-13929","3B","Manny","Manny Machado","Machado","10.44626902110541","67","3500","BAL@TAM","BAL","TAM","","","",""
"19819-5831","OF","Carlos","Carlos Beltran","Beltran","9.320635114397321","63","3500","HOU@SEA","HOU","SEA","","","",""
"19819-5948","OF","Brett","Brett Gardner","Gardner","11.842423872514205","66","3500","TEX@NYY","NYY","TEX","","","",""
"19819-53401","1B","Trey","Trey Mancini","Mancini","10.241379310344827","58","3400","BAL@TAM","BAL","TAM","","","",""
"19819-12593","2B","Eric","Eric Sogard","Sogard","10.868571254185268","35","3400","MIL@ATL","MIL","ATL","","","",""
"19819-12925","2B","Jason","Jason Kipnis","Kipnis","9.568627450980392","51","3400","MIN@CLE","CLE","MIN","","","",""
"19819-12928","1B","Eric","Eric Hosmer","Hosmer","9.87042236328125","71","3400","TOR@KAN","KAN","TOR","","","",""
"19819-12977","1B","Eric","Eric Thames","Thames","12.661764705882353","68","3400","MIL@ATL","MIL","ATL","","","",""
"19819-13266","C","Salvador","Salvador Perez","Perez","10.246153846153845","65","3400","TOR@KAN","KAN","TOR","","","",""
"19819-5077","OF","Dexter","Dexter Fowler","Fowler","10.886363636363637","66","3400","PIT@STL","STL","PIT","DTD","Quadriceps","",""
"19819-5178","1B","Matt","Matt Holliday","Holliday","11.556060791015625","66","3400","TEX@NYY","NYY","TEX","","","",""
"19819-21584","2B","Rougned","Rougned Odor","Odor","8.981944613986546","72","3400","TEX@NYY","TEX","NYY","","","",""
"19819-5243","C","Brian","Brian McCann","McCann","11.43125025431315","48","3400","HOU@SEA","HOU","SEA","","","",""
"19819-21637","OF","Jackie","Jackie Bradley Jr.","Bradley Jr.","10.078181596235796","55","3400","LAA@BOS","BOS","LAA","","","",""
"19819-5474","1B","Mark","Mark Reynolds","Reynolds","12.174285888671875","70","3400","COL@LOS","COL","LOS","","","",""
"19819-5504","2B","Ian","Ian Kinsler","Kinsler","10.79473662794682","57","3400","DET@SDP","DET","SDP","","","",""
"19819-13794","OF","Delino","Delino DeShields","DeShields","8.452727161754261","55","3400","TEX@NYY","TEX","NYY","","","",""
"19819-13799","1B","Matt","Matt Adams","Adams","9.154838315902218","62","3400","MIL@ATL","ATL","MIL","","","",""
"19819-38571","3B","Travis","Travis Shaw","Shaw","12.6953125","64","3400","MIL@ATL","MIL","ATL","","","",""
"19819-5904","1B","Chris","Chris Davis","Davis","9.71803258676998","61","3400","BAL@TAM","BAL","TAM","DL","Oblique","",""
"19819-12310","1B","Carlos","Carlos Santana","Santana","10.318309515294894","71","3300","MIN@CLE","CLE","MIN","","","",""
"19819-12863","3B","Todd","Todd Frazier","Frazier","10.056451612903226","62","3300","OAK@CWS","CWS","OAK","","","",""
"19819-21074","OF","Michael A.","Michael A. Taylor","Taylor","8.95084704382945","59","3300","CIN@WAS","WAS","CIN","DTD","Undisclosed","",""
"19819-13096","2B","Brian","Brian Dozier","Dozier","11.29999981504498","66","3300","MIN@CLE","MIN","CLE","","","",""
"19819-13239","SS","Eduardo","Eduardo Escobar","Escobar","8.836169953041889","47","3300","MIN@CLE","MIN","CLE","","","",""
"19819-60426","OF","Yasmany","Yasmany Tomas","Tomas","9.421276336020611","47","3300","PHI@ARI","ARI","PHI","DL","Groin","",""
"19819-5146","OF","Hunter","Hunter Pence","Pence","7.674545565518466","55","3300","NYM@SFG","SFG","NYM","","","",""
"19819-37983","C","Mike","Mike Zunino","Zunino","9.087999877929688","50","3300","HOU@SEA","SEA","HOU","","","",""
"19819-60630","OF","Bradley","Bradley Zimmer","Zimmer","9.836363821318656","33","3300","MIN@CLE","CLE","MIN","","","",""
"19819-5390","2B","Robinson","Robinson Cano","Cano","11.556249618530273","64","3300","HOU@SEA","SEA","HOU","","","",""
"19819-5393","OF","Melky","Melky Cabrera","Cabrera","9.585293938131894","68","3300","OAK@CWS","CWS","OAK","","","",""
"19819-13691","OF","Ender","Ender Inciarte","Inciarte","10.720833672417534","72","3300","MIL@ATL","ATL","MIL","","","",""
"19819-13710","3B","Yangervis","Yangervis Solarte","Solarte","9.360563036421654","71","3300","DET@SDP","SDP","DET","DTD","Oblique","",""
"19819-5607","3B","Evan","Evan Longoria","Longoria","9.955555386013454","72","3300","BAL@TAM","TAM","BAL","","","",""
"19819-13900","3B","Jedd","Jedd Gyorko","Gyorko","9.920967348160282","62","3300","PIT@STL","STL","PIT","","","",""
"19819-13966","3B","Kyle","Kyle Seager","Seager","9.158333672417534","72","3300","HOU@SEA","SEA","HOU","","","",""
"19819-54952","OF","Aaron","Aaron Altherr","Altherr","10.719354444934476","62","3300","PHI@ARI","PHI","ARI","","","",""
"19819-6276","2B","Neil","Neil Walker","Walker","10.441666666666666","60","3200","NYM@SFG","NYM","SFG","DL","Hamstring","",""
"19819-6282","C","Tyler","Tyler Flowers","Flowers","9.32","50","3200","MIL@ATL","ATL","MIL","","","",""
"19819-6292","C","Buster","Buster Posey","Posey","10.704762292286706","63","3200","NYM@SFG","SFG","NYM","","","",""
"19819-17014","SS","Andrelton","Andrelton Simmons","Simmons","9.71066650390625","75","3200","LAA@BOS","LAA","BOS","","","",""
"19819-12935","2B","Dee","Dee Gordon","Gordon","10.39857177734375","70","3200","CHC@MIA","MIA","CHC","","","",""
"19819-70562","2B","Whit","Whit Merrifield","Merrifield","9.722222222222221","54","3200","TOR@KAN","KAN","TOR","","","",""
"19819-13303","C","Yasmani","Yasmani Grandal","Grandal","8.688709874306955","62","3200","COL@LOS","LOS","COL","","","",""
"19819-5190","1B","Victor","Victor Martinez","Martinez","8.211666870117188","60","3200","DET@SDP","DET","SDP","DL","Chest","",""
"19819-5262","OF","Adam","Adam Jones","Jones","9.532307316706731","65","3200","BAL@TAM","BAL","TAM","","","",""
"19819-5292","OF","Matt","Matt Kemp","Kemp","10.959016393442623","61","3200","MIL@ATL","ATL","MIL","DTD","Hamstring","",""
"19819-13487","OF","Tommy","Tommy Pham","Pham","11.533333188011532","42","3200","PIT@STL","STL","PIT","","","",""
"19819-5366","2B","Dustin","Dustin Pedroia","Pedroia","8.987272505326704","55","3200","LAA@BOS","BOS","LAA","DTD","Back","",""
"19819-38321","1B","Joey","Joey Gallo","Gallo","10.960293938131894","68","3200","TEX@NYY","TEX","NYY","","","",""
"19819-13771","2B","Josh","Josh Harrison","Harrison","9.942857142857143","70","3200","PIT@STL","PIT","STL","","","",""
"19819-5590","1B","Mike","Mike Napoli","Napoli","9.055172624259159","58","3200","TEX@NYY","TEX","NYY","","","",""
"19819-13894","OF","Aaron","Aaron Hicks","Hicks","12.62280701754386","57","3200","TEX@NYY","NYY","TEX","","","",""
"19819-14004","1B","Justin","Justin Bour","Bour","11.512903028918851","62","3200","CHC@MIA","MIA","CHC","","","",""
"19819-71466","3B","Ryon","Ryon Healy","Healy","10.144444783528646","72","3200","OAK@CWS","OAK","CWS","","","",""
"19819-71507","1B","Yuli","Yuli Gurriel","Gurriel","8.80952380952381","63","3200","HOU@SEA","HOU","SEA","","","",""
"19819-39087","1B","Kennys","Kennys Vargas","Vargas","9.552777608235678","36","3100","MIN@CLE","MIN","CLE","","","",""
"19819-12505","3B","Eduardo","Eduardo Nunez","Nunez","10.001562118530273","64","3100","NYM@SFG","SFG","NYM","DTD","Hamstring","",""
"19819-12521","1B","Yonder","Yonder Alonso","Alonso","11.282812118530273","64","3100","OAK@CWS","OAK","CWS","","","",""
"19819-12900","1B","Brandon","Brandon Belt","Belt","10.112499660915798","72","3100","NYM@SFG","SFG","NYM","","","",""
"19819-12924","OF","Lonnie","Lonnie Chisenhall","Chisenhall","10.477083206176758","48","3100","MIN@CLE","CLE","MIN","","","",""
